																	
													Clearing Screen	Calculating View	Drawing Screen	Swapping Buffers	Flushing
164	Clear:	0,00561726	View:	0,00000491	Draw:	0,00000557	SwapBuffers:	0,01964890	End:	0,00000194		164	5,6173	0,0049	0,0056	19,6489	0,0019
165	Clear:	0,01373190	View:	0,00000409	Draw:	0,00000494	SwapBuffers:	0,01163800	End:	0,00000199		165	13,7319	0,0041	0,0049	11,6380	0,0020
166	Clear:	0,00491065	View:	0,00000417	Draw:	0,00000496	SwapBuffers:	0,02030470	End:	0,00000185		166	4,9107	0,0042	0,0050	20,3047	0,0018
167	Clear:	0,01304970	View:	0,00000397	Draw:	0,00000494	SwapBuffers:	0,01247960	End:	0,00000213		167	13,0497	0,0040	0,0049	12,4796	0,0021
168	Clear:	0,00407429	View:	0,00000426	Draw:	0,00000493	SwapBuffers:	0,02136230	End:	0,00000224		168	4,0743	0,0043	0,0049	21,3623	0,0022
169	Clear:	0,01202740	View:	0,00000403	Draw:	0,00000510	SwapBuffers:	0,01322250	End:	0,00000170		169	12,0274	0,0040	0,0051	13,2225	0,0017
170	Clear:	0,00336765	View:	0,00000458	Draw:	0,00000498	SwapBuffers:	0,02199070	End:	0,00000199		170	3,3677	0,0046	0,0050	21,9907	0,0020
171	Clear:	0,01129670	View:	0,00000412	Draw:	0,00000478	SwapBuffers:	0,01416660	End:	0,00000200		171	11,2967	0,0041	0,0048	14,1666	0,0020
172	Clear:	0,00232160	View:	0,00000424	Draw:	0,00000520	SwapBuffers:	0,02330470	End:	0,00000186		172	2,3216	0,0042	0,0052	23,3047	0,0019
173	Clear:	0,01005640	View:	0,00001251	Draw:	0,00000473	SwapBuffers:	0,01549580	End:	0,00000181		173	10,0564	0,0125	0,0047	15,4958	0,0018
174	Clear:	0,00110074	View:	0,00000404	Draw:	0,00000475	SwapBuffers:	0,02464430	End:	0,00000194		174	1,1007	0,0040	0,0047	24,6443	0,0019
175	Clear:	0,00875768	View:	0,00000372	Draw:	0,00000461	SwapBuffers:	0,01686400	End:	0,00000203		175	8,7577	0,0037	0,0046	16,8640	0,0020
176	Clear:	0,01636680	View:	0,00000410	Draw:	0,00000481	SwapBuffers:	0,00932565	End:	0,00000196		176	16,3668	0,0041	0,0048	9,3257	0,0020
177	Clear:	0,00729486	View:	0,00001340	Draw:	0,00000454	SwapBuffers:	0,01833240	End:	0,00000189		177	7,2949	0,0134	0,0045	18,3324	0,0019
178	Clear:	0,01498220	View:	0,00000442	Draw:	0,00000506	SwapBuffers:	0,01073730	End:	0,00000206		178	14,9822	0,0044	0,0051	10,7373	0,0021
179	Clear:	0,00586510	View:	0,00001568	Draw:	0,00000484	SwapBuffers:	0,01984550	End:	0,00001282		179	5,8651	0,0157	0,0048	19,8455	0,0128
180	Clear:	0,01340240	View:	0,00000569	Draw:	0,00001421	SwapBuffers:	0,01208940	End:	0,00000207		180	13,4024	0,0057	0,0142	12,0894	0,0021
181	Clear:	0,00450434	View:	0,00001326	Draw:	0,00000488	SwapBuffers:	0,02101620	End:	0,00001281		181	4,5043	0,0133	0,0049	21,0162	0,0128
182	Clear:	0,01229080	View:	0,00000507	Draw:	0,00000510	SwapBuffers:	0,01326150	End:	0,00000228		182	12,2908	0,0051	0,0051	13,2615	0,0023
183	Clear:	0,00334366	View:	0,00000417	Draw:	0,00001419	SwapBuffers:	0,02229820	End:	0,00000208		183	3,3437	0,0042	0,0142	22,2982	0,0021
184	Clear:	0,01092390	View:	0,00000454	Draw:	0,00000521	SwapBuffers:	0,01469490	End:	0,00001114		184	10,9239	0,0045	0,0052	14,6949	0,0111
185	Clear:	0,00193508	View:	0,00000514	Draw:	0,00000614	SwapBuffers:	0,02358040	End:	0,00000222		185	1,9351	0,0051	0,0061	23,5804	0,0022
186	Clear:	0,00972598	View:	0,00000493	Draw:	0,00000529	SwapBuffers:	0,01619760	End:	0,00000216		186	9,7260	0,0049	0,0053	16,1976	0,0022
187	Clear:	0,00048292	View:	0,00001366	Draw:	0,00000510	SwapBuffers:	0,02493800	End:	0,00000199		187	0,4829	0,0137	0,0051	24,9380	0,0020
188	Clear:	0,00826714	View:	0,00000427	Draw:	0,00000503	SwapBuffers:	0,01728610	End:	0,00000210		188	8,2671	0,0043	0,0050	17,2861	0,0021
189	Clear:	0,01603710	View:	0,00001266	Draw:	0,00000463	SwapBuffers:	0,00964119	End:	0,00000155		189	16,0371	0,0127	0,0046	9,6412	0,0015
190	Clear:	0,00682640	View:	0,00000392	Draw:	0,00000470	SwapBuffers:	0,01876250	End:	0,00000173		190	6,8264	0,0039	0,0047	18,7625	0,0017
191	Clear:	0,01457490	View:	0,00000413	Draw:	0,00000490	SwapBuffers:	0,01124580	End:	0,00000189		191	14,5749	0,0041	0,0049	11,2458	0,0019
192	Clear:	0,00541118	View:	0,00000451	Draw:	0,00000532	SwapBuffers:	0,02032850	End:	0,00000218		192	5,4112	0,0045	0,0053	20,3285	0,0022
193	Clear:	0,01302210	View:	0,00001373	Draw:	0,00000520	SwapBuffers:	0,01264370	End:	0,00000204		193	13,0221	0,0137	0,0052	12,6437	0,0020
194	Clear:	0,00388608	View:	0,00000449	Draw:	0,00001364	SwapBuffers:	0,02182260	End:	0,00000193		194	3,8861	0,0045	0,0136	21,8226	0,0019
195	Clear:	0,01148680	View:	0,00000433	Draw:	0,00000487	SwapBuffers:	0,01429940	End:	0,00000196		195	11,4868	0,0043	0,0049	14,2994	0,0020
196	Clear:	0,00221508	View:	0,00000461	Draw:	0,00000544	SwapBuffers:	0,02325760	End:	0,00000175		196	2,2151	0,0046	0,0054	23,2576	0,0018
197	Clear:	0,01012970	View:	0,00001328	Draw:	0,00000463	SwapBuffers:	0,01569540	End:	0,00000192		197	10,1297	0,0133	0,0046	15,6954	0,0019
198	Clear:	0,00083814	View:	0,00000444	Draw:	0,00000544	SwapBuffers:	0,02525050	End:	0,00000307		198	0,8381	0,0044	0,0054	25,2505	0,0031
199	Clear:	0,00820618	View:	0,00000598	Draw:	0,00000568	SwapBuffers:	0,01783290	End:	0,00000313		199	8,2062	0,0060	0,0057	17,8329	0,0031
200	Clear:	0,01540330	View:	0,00000466	Draw:	0,00000501	SwapBuffers:	0,01057590	End:	0,00000155		200	15,4033	0,0047	0,0050	10,5759	0,0015
201	Clear:	0,00604645	View:	0,00000428	Draw:	0,00001458	SwapBuffers:	0,02046020	End:	0,00000182		201	6,0465	0,0043	0,0146	20,4602	0,0018
202	Clear:	0,01278280	View:	0,00000425	Draw:	0,00000503	SwapBuffers:	0,01364230	End:	0,00000172		202	12,7828	0,0042	0,0050	13,6423	0,0017
203	Clear:	0,00289502	View:	0,00000434	Draw:	0,00000536	SwapBuffers:	0,02357300	End:	0,00000154		203	2,8950	0,0043	0,0054	23,5730	0,0015
204	Clear:	0,00979980	View:	0,00000425	Draw:	0,00000493	SwapBuffers:	0,01689410	End:	0,00000203		204	9,7998	0,0043	0,0049	16,8941	0,0020
205	Clear:	0,01644070	View:	0,00001252	Draw:	0,00000443	SwapBuffers:	0,01020000	End:	0,00000159		205	16,4407	0,0125	0,0044	10,2000	0,0016
206	Clear:	0,00639591	View:	0,00000409	Draw:	0,00000467	SwapBuffers:	0,02043330	End:	0,00001642		206	6,3959	0,0041	0,0047	20,4333	0,0164
207	Clear:	0,01286620	View:	0,00001289	Draw:	0,00000439	SwapBuffers:	0,01385660	End:	0,00000188		207	12,8662	0,0129	0,0044	13,8566	0,0019
208	Clear:	0,00264789	View:	0,00000406	Draw:	0,00000506	SwapBuffers:	0,02422060	End:	0,00000191		208	2,6479	0,0041	0,0051	24,2206	0,0019
209	Clear:	0,00913405	View:	0,00000412	Draw:	0,00001430	SwapBuffers:	0,01774760	End:	0,00001270		209	9,1341	0,0041	0,0143	17,7476	0,0127
210	Clear:	0,01552580	View:	0,00000403	Draw:	0,00000473	SwapBuffers:	0,01131100	End:	0,00000206		210	15,5258	0,0040	0,0047	11,3110	0,0021
211	Clear:	0,00529938	View:	0,00001393	Draw:	0,00000547	SwapBuffers:	0,02192220	End:	0,00000212		211	5,2994	0,0139	0,0055	21,9222	0,0021
212	Clear:	0,01134870	View:	0,00000429	Draw:	0,00000517	SwapBuffers:	0,01571900	End:	0,00000192		212	11,3487	0,0043	0,0052	15,7190	0,0019
213	Clear:	0,00086976	View:	0,00000411	Draw:	0,00000519	SwapBuffers:	0,02613260	End:	0,00000188		213	0,8698	0,0041	0,0052	26,1326	0,0019
214	Clear:	0,00716634	View:	0,00001311	Draw:	0,00000455	SwapBuffers:	0,01966550	End:	0,00000175		214	7,1663	0,0131	0,0046	19,6655	0,0017
215	Clear:	0,01363860	View:	0,00001265	Draw:	0,00000481	SwapBuffers:	0,01365920	End:	0,00000166		215	13,6386	0,0126	0,0048	13,6592	0,0017
216	Clear:	0,00290650	View:	0,00000419	Draw:	0,00000492	SwapBuffers:	0,02421090	End:	0,00000173		216	2,9065	0,0042	0,0049	24,2109	0,0017
217	Clear:	0,00913099	View:	0,00000380	Draw:	0,00000491	SwapBuffers:	0,01789720	End:	0,00000177		217	9,1310	0,0038	0,0049	17,8972	0,0018
218	Clear:	0,01539350	View:	0,00000419	Draw:	0,00000471	SwapBuffers:	0,01176860	End:	0,00001286		218	15,3935	0,0042	0,0047	11,7686	0,0129
219	Clear:	0,00484750	View:	0,00001712	Draw:	0,00000447	SwapBuffers:	0,02230350	End:	0,00000154		219	4,8475	0,0171	0,0045	22,3035	0,0015
220	Clear:	0,01098020	View:	0,00000395	Draw:	0,00000465	SwapBuffers:	0,01664350	End:	0,00000203		220	10,9802	0,0040	0,0046	16,6435	0,0020
221	Clear:	0,00020617	View:	0,00000370	Draw:	0,00000455	SwapBuffers:	0,02719270	End:	0,00001310		221	0,2062	0,0037	0,0046	27,1927	0,0131
222	Clear:	0,00588730	View:	0,00001750	Draw:	0,00000439	SwapBuffers:	0,02223430	End:	0,00001067		222	5,8873	0,0175	0,0044	22,2343	0,0107
223	Clear:	0,01101870	View:	0,00001861	Draw:	0,00000495	SwapBuffers:	0,01656910	End:	0,00000206		223	11,0187	0,0186	0,0050	16,5691	0,0021
224	Clear:	0,00010276	View:	0,00000463	Draw:	0,00000511	SwapBuffers:	0,05582180	End:	0,00000232		224	0,1028	0,0046	0,0051	55,8218	0,0023
225	Clear:	0,01065680	View:	0,00001883	Draw:	0,00000566	SwapBuffers:	0,00032877	End:	0,00000192		225	10,6568	0,0188	0,0057	0,3288	0,0019
226	Clear:	0,01634550	View:	0,00001246	Draw:	0,00000490	SwapBuffers:	0,00053312	End:	0,00000195		226	16,3455	0,0125	0,0049	0,5331	0,0020
227	Clear:	0,01601600	View:	0,00000407	Draw:	0,00000479	SwapBuffers:	0,01170910	End:	0,00001282		227	16,0160	0,0041	0,0048	11,7091	0,0128
228	Clear:	0,00482808	View:	0,00000474	Draw:	0,00000499	SwapBuffers:	0,02304970	End:	0,00000188		228	4,8281	0,0047	0,0050	23,0497	0,0019
229	Clear:	0,01033370	View:	0,00000397	Draw:	0,00001945	SwapBuffers:	0,01739200	End:	0,00001343		229	10,3337	0,0040	0,0194	17,3920	0,0134
230	Clear:	0,01579000	View:	0,00000451	Draw:	0,00000520	SwapBuffers:	0,01209200	End:	0,00000144		230	15,7900	0,0045	0,0052	12,0920	0,0014
231	Clear:	0,00457779	View:	0,00000397	Draw:	0,00000518	SwapBuffers:	0,02321730	End:	0,00000174		231	4,5778	0,0040	0,0052	23,2173	0,0017
232	Clear:	0,01009340	View:	0,00000476	Draw:	0,00001575	SwapBuffers:	0,01781140	End:	0,00000152		232	10,0934	0,0048	0,0158	17,8114	0,0015
233	Clear:	0,01547950	View:	0,00000408	Draw:	0,00001361	SwapBuffers:	0,01226650	End:	0,00000158		233	15,4795	0,0041	0,0136	12,2665	0,0016
234	Clear:	0,00433704	View:	0,00000422	Draw:	0,00000490	SwapBuffers:	0,02366050	End:	0,00000149		234	4,3370	0,0042	0,0049	23,6605	0,0015
235	Clear:	0,00963757	View:	0,00000442	Draw:	0,00001460	SwapBuffers:	0,01811590	End:	0,00000194		235	9,6376	0,0044	0,0146	18,1159	0,0019
236	Clear:	0,01519260	View:	0,00000473	Draw:	0,00000538	SwapBuffers:	0,01224640	End:	0,00000145		236	15,1926	0,0047	0,0054	12,2464	0,0015
237	Clear:	0,00437912	View:	0,00000417	Draw:	0,00000466	SwapBuffers:	0,02232700	End:	0,00000143		237	4,3791	0,0042	0,0047	22,3270	0,0014
238	Clear:	0,01094310	View:	0,00000450	Draw:	0,00000504	SwapBuffers:	0,01518190	End:	0,00000147		238	10,9431	0,0045	0,0050	15,1819	0,0015
239	Clear:	0,00132924	View:	0,00000422	Draw:	0,00000508	SwapBuffers:	0,02424570	End:	0,00000132		239	1,3292	0,0042	0,0051	24,2457	0,0013
240	Clear:	0,00917784	View:	0,00000424	Draw:	0,00000469	SwapBuffers:	0,01642870	End:	0,00001028		240	9,1778	0,0042	0,0047	16,4287	0,0103
241	Clear:	0,00039369	View:	0,00000401	Draw:	0,00000526	SwapBuffers:	0,02475090	End:	0,00000133		241	0,3937	0,0040	0,0053	24,7509	0,0013
242	Clear:	0,00834705	View:	0,00000413	Draw:	0,00000462	SwapBuffers:	0,01690700	End:	0,00000134		242	8,3471	0,0041	0,0046	16,9070	0,0013
243	Clear:	0,01627910	View:	0,00000420	Draw:	0,00001364	SwapBuffers:	0,00892710	End:	0,00000161		243	16,2791	0,0042	0,0136	8,9271	0,0016
244	Clear:	0,00776634	View:	0,00000414	Draw:	0,00000464	SwapBuffers:	0,01736390	End:	0,00000169		244	7,7663	0,0041	0,0046	17,3639	0,0017
245	Clear:	0,01590750	View:	0,00000391	Draw:	0,00000464	SwapBuffers:	0,00891011	End:	0,00000140		245	15,9075	0,0039	0,0046	8,9101	0,0014
246	Clear:	0,00769498	View:	0,00000401	Draw:	0,00000456	SwapBuffers:	0,01680660	End:	0,00000156		246	7,6950	0,0040	0,0046	16,8066	0,0016
247	Clear:	0,01643210	View:	0,00000408	Draw:	0,00001825	SwapBuffers:	0,00782330	End:	0,00000101		247	16,4321	0,0041	0,0182	7,8233	0,0010
248	Clear:	0,00888194	View:	0,00000565	Draw:	0,00000566	SwapBuffers:	0,01512140	End:	0,00000361		248	8,8819	0,0057	0,0057	15,1214	0,0036
	Running	time:	6,48105														
	Avg	FPS:	48,3363														
	Number	of	triangles:	16777216,00000000													
